id,clothes_des,naver_link
1,민소매,https://search.shopping.naver.com/search/all.nhn?where=all&frm=NVSCTAB&query=민소매
2,반팔,https://search.shopping.naver.com/search/all.nhn?where=all&frm=NVSCTAB&query=반팔
3,반바지 ,https://search.shopping.naver.com/search/all.nhn?where=all&frm=NVSCTAB&query=반바지
4,원피스,https://search.shopping.naver.com/search/all.nhn?where=all&frm=NVSCTAB&query=원피스
5,얇은 셔츠,https://search.shopping.naver.com/search/all.nhn?where=all&frm=NVSCTAB&query=얇은셔츠
6,반바지,https://search.shopping.naver.com/search/all.nhn?where=all&frm=NVSCTAB&query=반바지
7,면바지,https://search.shopping.naver.com/search/all.nhn?where=all&frm=NVSCTAB&query=면바지
8,얇은 가디건,https://search.shopping.naver.com/search/all.nhn?where=all&frm=NVSCTAB&query=얇은가디건
9,긴팔,https://search.shopping.naver.com/search/all.nhn?where=all&frm=NVSCTAB&query=긴팔
10,청바지,https://search.shopping.naver.com/search/all.nhn?where=all&frm=NVSCTAB&query=청바지
11,얇은 니트,https://search.shopping.naver.com/search/all.nhn?where=all&frm=NVSCTAB&query=얇은니트
12,맨투맨,https://search.shopping.naver.com/search/all.nhn?where=all&frm=NVSCTAB&query=맨투맨
13,가디건,https://search.shopping.naver.com/search/all.nhn?where=all&frm=NVSCTAB&query=가디건
14,자켓,https://search.shopping.naver.com/search/all.nhn?where=all&frm=NVSCTAB&query=자켓
15,야상,https://search.shopping.naver.com/search/all.nhn?where=all&frm=NVSCTAB&query=야상
16,스타킹,https://search.shopping.naver.com/search/all.nhn?where=all&frm=NVSCTAB&query=스타킹
17,트렌치코트,https://search.shopping.naver.com/search/all.nhn?where=all&frm=NVSCTAB&query=트렌치코트
18,니트,https://search.shopping.naver.com/search/all.nhn?where=all&frm=NVSCTAB&query=니트
19,코트,https://search.shopping.naver.com/search/all.nhn?where=all&frm=NVSCTAB&query=코트
20,가죽자켓,https://search.shopping.naver.com/search/all.nhn?where=all&frm=NVSCTAB&query=가죽자켓
21,히트텍,https://search.shopping.naver.com/search/all.nhn?where=all&frm=NVSCTAB&query=히트텍
22,레깅스,https://search.shopping.naver.com/search/all.nhn?where=all&frm=NVSCTAB&query=레깅스
23,패딩,https://search.shopping.naver.com/search/all.nhn?where=all&frm=NVSCTAB&query=패딩
24,두꺼운코트,https://search.shopping.naver.com/search/all.nhn?where=all&frm=NVSCTAB&query=두꺼운코트
25,목도리,https://search.shopping.naver.com/search/all.nhn?where=all&frm=NVSCTAB&query=목도리
26,기모제품,https://search.shopping.naver.com/search/all.nhn?where=all&frm=NVSCTAB&query=기모제품
